	16_S3.tab	17_S4.tab	18_S1.tab	19_S2.tab	21_S3.tab	23_S3.tab	24_S2.tab	27_S1.tab	28_S4.tab	30_S3.tab	34_S1.tab	35_S4.tab	36_S1.tab	38_S2.tab	40_S2.tab	42_S3.tab	44_S3.tab	45_S1.tab	46_S4.tab	47_S4.tab	51_S2.tab	54_S4.tab	5_S1.tab	8_S2.tab
MULTISPECIES: exodeoxyribonuclease V subunit gamma	0	0	0	0	0	0	1.00	0	0	1.00	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0
MULTISPECIES: exodeoxyribonuclease VII large subunit	0	2.00	0	0	0	0	0	0	0	2.00	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0
MULTISPECIES: exoglucanase XynX	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.00	0	0	0	0	0	0
MULTISPECIES: exonuclease	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0
MULTISPECIES: exonuclease subunit SbcD	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: exopolyphosphatase	0	0	1.00	0	0	1.00	3.00	0	1.00	1.00	0	0	0	0	1.00	0	0	2.00	0	2.00	0	0	0	0
MULTISPECIES: exopolysaccharide biosynthesis protein	0	0	0	0	0	1.00	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: exoribonuclease II	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: extensin	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: fatty acid desaturase	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: fatty acid hydroxylase	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: fatty acid oxidation complex subunit alpha FadB	0	0	0	0	0	2.00	2.00	0	0	1.00	0	0	0	0	1.00	0	0	0	0	1.00	0	0	0	0
MULTISPECIES: fatty acid transporter membrane protein	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0
MULTISPECIES: fatty acid--CoA ligase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0
MULTISPECIES: fatty acyl CoA synthetase	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	1.00	0	2.00	0	0	0	0	0	0
MULTISPECIES: fatty-acid oxidation protein subunit alpha	0	0	0	0	0	0	1.00	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: fatty-acid--CoA ligase	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: fe(3+) dicitrate transporter fecA	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: ferredoxin	0	0	0	0	0	1.00	3.00	0	2.00	5.00	0	0	0	4.00	0	3.00	0	9.00	0	3.00	0	0	0	0
MULTISPECIES: ferredoxin 1	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: ferredoxin--NAD(+) reductase	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: ferredoxin--NADP reductase	0	0	0	0	0	2.00	4.00	0	1.00	2.00	1.00	0	0	1.00	0	0	0	2.00	0	0	0	0	0	0
MULTISPECIES: ferredoxin--NADP(+) reductase	0	0	0	0	0	0	1.00	0	0	1.00	1.00	0	0	0	0	0	0	1.00	0	0	0	0	0	0
MULTISPECIES: ferredoxin:protochlorophyllide reductase (ATP-dependent) subunit B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0
MULTISPECIES: ferredoxin:protochlorophyllide reductase (ATP-dependent) subunit N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00
MULTISPECIES: ferric iron uptake transcriptional regulator	0	0	0	0	0	0	1.00	0	0	0	0	1.00	0	1.00	0	1.00	1.00	4.00	0	0	0	0	0	0
MULTISPECIES: ferritin	0	0	0	0	0	0	2.00	0	0	1.00	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0
MULTISPECIES: ferritin-like domain-containing protein	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	1.00	0	0	0	0	0	0	0	1.00
MULTISPECIES: ferrochelatase	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	1.00	0	1.00	0	0	0	0	0	1.00
MULTISPECIES: ferrous iron transport protein A	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	1.00	0	1.00	0	0	0	0	0	0
MULTISPECIES: ferrous iron transport protein B	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: ferrous iron transporter A	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: ferrous iron transporter B	1.00	0	0	1.00	2.00	0	1.00	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: feruloyl-CoA synthase	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: fibrinogen-binding protein	0	0	0	0	0	0	0	1.00	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: fibronectin-binding protein, partial	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0
MULTISPECIES: fimbrial biogenesis outer membrane usher protein	0	0	0	0	0	0	2.00	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: fimbrial-like adhesin protein	1.00	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: flagella basal body P-ring formation protein FlgA	0	0	0	1.00	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: flagellar L-ring protein FlgH	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: flagellar M-ring protein FliF	0	0	0	1.00	1.00	2.00	0	0	1.00	2.00	2.00	0	0	0	1.00	0	0	1.00	0	0	0	0	0	0
MULTISPECIES: flagellar P-ring protein FlgI	0	0	0	0	0	0	0	0	0	1.00	2.00	0	0	0	0	1.00	0	0	0	0	0	0	0	0
MULTISPECIES: flagellar assembly protein FliH	0	0	0	0	0	0	0	0	0	2.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: flagellar basal body L-ring protein	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: flagellar basal body P-ring protein	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00
MULTISPECIES: flagellar basal body rod modification protein FlgD	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0
MULTISPECIES: flagellar basal body rod protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0
MULTISPECIES: flagellar basal body rod protein FlgB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	2.00	0	0	0	0	0	0
MULTISPECIES: flagellar basal body rod protein FlgC	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	1.00	0	0	0	1.00	0	0	0	0
MULTISPECIES: flagellar basal body rod protein FlgG	0	0	0	1.00	0	1.00	2.00	0	0	0	0	0	1.00	1.00	3.00	0	0	0	1.00	0	0	0	0	0
MULTISPECIES: flagellar basal body-associated protein FliL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0
MULTISPECIES: flagellar basal-body rod protein FlgG	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	1.00	0	1.00	0	0	0	0
MULTISPECIES: flagellar biosynthesis anti-sigma factor FlgM	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: flagellar biosynthesis chaperone FliJ	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: flagellar biosynthesis protein FlgB	0	0	0	0	0	0	1.00	0	0	0	0	0	0	1.00	0	1.00	0	0	0	0	0	0	0	0
MULTISPECIES: flagellar biosynthesis protein FlgI	0	0	0	0	0	1.00	0	0	0	0	0	0	1.00	0	0	0	0	2.00	0	0	0	0	0	0
MULTISPECIES: flagellar biosynthesis protein FlhA	0	0	0	0	0	1.00	3.00	0	0	1.00	0	0	0	3.00	0	3.00	0	1.00	0	0	0	0	0	0
MULTISPECIES: flagellar biosynthesis protein FlhB	0	0	0	0	0	2.00	0	0	0	2.00	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: flagellar biosynthesis protein FlhF	0	0	0	0	0	1.00	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: flagellar biosynthesis protein FliQ	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: flagellar biosynthesis regulator FlhF	0	0	0	0	0	0	0	0	1.00	0	0	1.00	0	0	0	0	0	0	1.00	0	0	0	0	0
MULTISPECIES: flagellar biosynthesis regulatory protein FlaF	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: flagellar biosynthesis repressor FlbT	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: flagellar biosynthetic protein FlhB	0	0	0	0	0	0	1.00	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: flagellar biosynthetic protein FliO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0
MULTISPECIES: flagellar biosynthetic protein FliP	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: flagellar brake protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00
MULTISPECIES: flagellar export chaperone FliS	0	0	0	0	0	0	2.00	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0
MULTISPECIES: flagellar export protein FliJ	0	0	0	0	0	0	3.00	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: flagellar hook capping protein	0	0	0	0	0	0	3.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: flagellar hook protein FlgE	0	0	0	0	0	0	1.00	0	0	2.00	0	0	0	4.00	1.00	0	0	1.00	0	0	0	0	0	0
MULTISPECIES: flagellar hook protein FlgL	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: flagellar hook-associated protein 3	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: flagellar hook-associated protein FlgK	0	0	0	0	0	2.00	1.00	0	0	1.00	0	0	1.00	1.00	0	2.00	0	0	0	0	0	0	0	0
MULTISPECIES: flagellar hook-basal body complex protein FliE	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: flagellar hook-length control protein FliK	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0
MULTISPECIES: flagellar motor protein MotA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	2.00	0	0	0	0	0	0
MULTISPECIES: flagellar motor protein MotB	0	0	0	0	0	0	1.00	0	0	0	0	0	0	1.00	0	0	0	1.00	0	0	0	0	0	0
MULTISPECIES: flagellar motor protein MotD	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0
MULTISPECIES: flagellar motor rotation protein MotA	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: flagellar motor stator protein MotA	0	0	0	0	1.00	0	2.00	0	0	0	0	0	0	0	0	1.00	0	3.00	0	0	0	0	0	0
MULTISPECIES: flagellar motor switch protein FliG	0	0	0	0	0	0	1.00	0	0	1.00	0	0	0	1.00	0	2.00	0	1.00	0	0	0	0	0	0
MULTISPECIES: flagellar motor switch protein FliM	0	0	0	0	0	0	2.00	0	0	2.00	3.00	1.00	0	1.00	1.00	0	0	3.00	0	0	0	0	0	0
MULTISPECIES: flagellar motor switch protein FliY	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: flagellar protein FlaF	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: flagellar protein FlgJ	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: flagellar protein FlgN	0	0	0	0	1.00	0	1.00	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: flagellar protein FliJ	0	0	0	0	0	0	3.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: flagellar protein FliS	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: flagellar protein export ATPase FliI	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	1.00	0	1.00	0	0	0	0	0	0
MULTISPECIES: flagellar rod assembly protein/muramidase FlgJ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0
MULTISPECIES: flagellar transcriptional activator FlhD	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: flagellar transcriptional regulator FlhD	0	0	0	0	0	0	0	0	0	0	0	0	0	2.00	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: flagellin	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: flagellin-like protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0
MULTISPECIES: flagellum-specific ATP synthase FliI	0	0	0	0	0	0	1.00	0	0	0	1.00	1.00	0	2.00	1.00	0	0	0	0	0	0	0	0	0
MULTISPECIES: flavin reductase	3.00	0	0	0	2.00	0	0	0	0	1.00	0	0	0	0	0	0	0	2.00	0	1.00	0	0	0	0
MULTISPECIES: flavin reductase family protein	0	0	0	3.00	0	0	1.00	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	2.00	0	0
MULTISPECIES: flavin-dependent oxidoreductase	1.00	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	2.00	1.00	0	0	0	0	0	0
MULTISPECIES: flavodoxin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0
MULTISPECIES: flavodoxin FldB	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: flavodoxin family protein	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: flavodoxin reductase	0	0	0	0	0	0	0	0	0	1.00	0	0	0	1.00	0	1.00	0	1.00	0	0	0	0	0	0
MULTISPECIES: flippase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0
MULTISPECIES: flotillin	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: fluoride ion transporter CrcB	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: folate-binding protein	0	0	0	0	0	1.00	3.00	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0
MULTISPECIES: folate-binding protein YgfZ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0
MULTISPECIES: formaldehyde dehydrogenase, glutathione-independent	0	0	0	0	0	0	1.00	0	0	1.00	0	0	1.00	0	0	3.00	0	1.00	0	0	0	0	0	0
MULTISPECIES: formamidase	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: formamidopyrimidine-DNA glycosylase	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	1.00	0	0	0	0	0	0
MULTISPECIES: formate C-acetyltransferase	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: formate dehydrogenase	1.00	0	0	0	0	2.00	1.00	0	0	3.00	0	0	0	2.00	0	2.00	0	1.00	0	1.00	0	2.00	0	0
MULTISPECIES: formate dehydrogenase accessory protein FdhE	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: formate dehydrogenase subunit alpha	0	0	1.00	0	0	0	3.00	0	0	1.00	1.00	1.00	0	2.00	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: formate dehydrogenase subunit beta	0	0	0	0	0	0	0	0	0	3.00	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0
MULTISPECIES: formate dehydrogenase subunit gamma	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0
MULTISPECIES: formate dehydrogenase-N subunit alpha	0	0	0	0	0	0	2.00	0	0	1.00	0	0	0	1.00	0	1.00	0	2.00	0	0	0	0	0	0
MULTISPECIES: formyltetrahydrofolate deformylase	0	0	0	0	0	1.00	3.00	0	0	0	0	0	1.00	1.00	0	1.00	0	4.00	0	4.00	0	0	0	0
MULTISPECIES: fosfomycin resistance bacillithiol transferase FosD	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: four helix bundle protein	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	1.00	0	0	0	0	0	0
MULTISPECIES: four-helix bundle copper-binding protein	0	0	0	0	0	0	1.00	0	0	0	0	0	0	1.00	0	1.00	0	0	0	0	0	0	0	0
MULTISPECIES: fructokinase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.00	0	0	0	0	0	0
MULTISPECIES: fructosamine kinase	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: fructose 1,6-bisphosphatase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0
MULTISPECIES: fructose-6-phosphate aldolase	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: fructose-bisphosphatase class I	0	0	0	0	0	1.00	1.00	0	1.00	1.00	0	1.00	1.00	2.00	1.00	0	0	3.00	0	1.00	0	0	0	0
MULTISPECIES: fructose-bisphosphatase class II	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	2.00	0	0	0	0	0	0
MULTISPECIES: fructose-bisphosphate aldolase	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: fructose-bisphosphate aldolase class I	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	2.00	0	0	0	0	0	0
MULTISPECIES: fructose-bisphosphate aldolase class II	0	0	0	0	0	1.00	3.00	0	0	3.00	0	0	0	0	0	2.00	2.00	1.00	0	0	0	2.00	0	0
MULTISPECIES: fructotransferase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0
MULTISPECIES: fumarate hydratase	0	0	0	0	0	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0	0	0	1.00	0	1.00	0	0	0	0	0	0
MULTISPECIES: fumarate hydratase, class II	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: fumarate reductase	0	0	0	1.00	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: fumarate reductase/succinate dehydrogenase flavoprotein subunit	0	0	0	0	0	2.00	0	1.00	2.00	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: fumarylacetoacetase	0	0	0	0	0	0	1.00	0	0	0	0	0	0	1.00	0	0	0	1.00	0	0	0	0	0	1.00
MULTISPECIES: fumarylacetoacetate hydrolase	0	1.00	0	0	0	0	1.00	0	1.00	0	0	0	0	1.00	0	0	0	2.00	0	0	0	0	0	0
MULTISPECIES: fused response regulator/phosphatase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0
MULTISPECIES: galactarate dehydratase	0	0	0	0	0	0	2.00	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0
MULTISPECIES: galactitol-1-phosphate 5-dehydrogenase	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: galactokinase	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00
MULTISPECIES: galactonate dehydratase	0	0	0	0	0	1.00	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: galactose oxidase, with kelch domain repeats	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0
MULTISPECIES: galactose-1-epimerase	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: galactose-6-phosphate isomerase subunit LacB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0
MULTISPECIES: galactose/methyl galactoside ABC transporter ATP-binding protein MglA	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: gamma carbonic anhydrase family protein	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0
MULTISPECIES: gamma-aminobutyraldehyde dehydrogenase	0	0	0	0	0	3.00	0	0	2.00	1.00	3.00	0	0	0	0	1.00	0	1.00	1.00	0	0	0	0	3.00
MULTISPECIES: gamma-glutamyl-gamma-aminobutyraldehyde dehydrogenase	0	0	0	0	0	0	0	0	1.00	1.00	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: gamma-glutamyl-gamma-aminobutyrate hydrolase	0	0	0	0	0	0	0	0	0	2.00	2.00	1.00	0	0	0	0	0	0	0	1.00	0	0	0	0
MULTISPECIES: gamma-glutamyl-phosphate reductase	0	0	0	3.00	0	1.00	0	0	0	0	0	0	0	0	0	2.00	0	1.00	0	0	0	0	0	1.00
MULTISPECIES: gamma-glutamylcyclotransferase	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: gamma-glutamyltransferase	0	0	0	0	0	2.00	1.00	0	0	4.00	2.00	1.00	0	0	2.00	2.00	0	1.00	0	0	0	0	0	0
MULTISPECIES: gamma-glutamyltransferase family protein	0	0	0	0	0	2.00	0	0	0	1.00	0	0	0	2.00	0	1.00	0	1.00	0	0	0	0	0	0
MULTISPECIES: general secretion pathway protein GspC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0
MULTISPECIES: general secretion pathway protein GspD, partial	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: general secretion pathway protein GspE	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: general secretion pathway protein GspF	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: general secretion pathway protein GspJ	0	0	0	0	1.00	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: genomic island protein	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: geranylgeranyl reductase	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0
MULTISPECIES: gfo/Idh/MocA family oxidoreductase	1.00	0	0	0	0	0	4.00	0	0	2.00	1.00	0	0	3.00	0	1.00	0	5.00	0	1.00	0	0	0	0
MULTISPECIES: gliding motility lipoprotein GldD	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: gliding motility lipoprotein GldJ	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: globin	0	0	0	0	0	1.00	1.00	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: glucan biosynthesis glucosyltransferase H	0	0	0	1.00	0	0	0	0	0	0	0	2.00	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: glucan biosynthesis protein D	0	0	0	0	0	0	1.00	0	0	0	2.00	0	0	0	0	0	1.00	3.00	0	0	0	0	0	0
MULTISPECIES: glucarate dehydratase	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	2.00	1.00
MULTISPECIES: glucoamylase	0	0	0	0	0	0	1.00	0	0	0	0	1.00	0	1.00	0	0	0	1.00	0	0	0	0	0	0
MULTISPECIES: glucokinase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0
MULTISPECIES: gluconate 2-dehydrogenase	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: gluconate 5-dehydrogenase	0	0	0	0	0	0	1.00	0	1.00	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: gluconate permease	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: gluconate transporter	0	0	0	0	0	0	0	0	0	0	3.00	0	1.00	1.00	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: gluconolactonase	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0
MULTISPECIES: glucosamine-6-phosphate deaminase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00
MULTISPECIES: glucose dehydrogenase	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: glucose starvation-inducible protein B	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: glucose-1-dehydrogenase	0	0	0	0	0	0	0	1.00	0	0	0	2.00	1.00	0	0	0	0	1.00	1.00	0	0	0	0	0
MULTISPECIES: glucose-1-phosphate adenylyltransferase	0	1.00	0	0	0	0	2.00	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0
